run_id,mode,K,dtype,peak_rss_mb,wall_sec,iters,top10_signature
1,csr,8,float32,36.5625,0.7340235999981815,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
2,csr,8,float32,35.31640625,0.7927935000006983,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
3,csr,8,float32,36.3203125,0.7036192000014125,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
4,csr,8,float32,31.796875,0.7267229999997653,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
5,csr,8,float32,31.82421875,0.6744944999991276,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
6,csr_block,8,float32,35.34375,0.6172230000011041,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
7,csr_block,8,float32,36.94140625,0.9082901000001584,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
8,csr_block,8,float32,33.62890625,0.696597499998461,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
9,csr_block,8,float32,31.8359375,0.9567905999974755,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
10,csr_block,8,float32,35.55078125,1.0112915999998222,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
