run_id,mode,K,dtype,peak_rss_mb,wall_sec,iters,top10_signature
1,csr_block,4,float32,35.96484375,0.6038497000008647,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
2,csr_block,4,float32,35.84375,0.8041518999998516,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
3,csr_block,4,float32,36.50390625,0.5943998000002466,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
4,csr_block,4,float32,31.69921875,0.6640303999993193,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
5,csr_block,4,float32,35.44140625,0.8549579000027734,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
6,csr_block,8,float32,31.46875,0.5988702000031481,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
7,csr_block,8,float32,36.609375,0.8491300999994564,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
8,csr_block,8,float32,35.15625,0.624367299998994,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
9,csr_block,8,float32,35.6015625,0.716200700000627,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
10,csr_block,8,float32,36.05859375,0.8563553999993019,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
11,csr_block,16,float32,35.34375,0.6551714999986871,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
12,csr_block,16,float32,35.5859375,0.9040768000013486,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
13,csr_block,16,float32,31.44921875,0.6737193000008119,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
14,csr_block,16,float32,35.41796875,0.9571466000015789,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
15,csr_block,16,float32,36.8203125,1.0891406000009738,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
