strategy,wall_sec,iters,delta,rank_sum,active_nodes,removed_nodes,top10_signature,jaccard_vs_compensation
compensation,0.5797665000136476,15,8.956703823059797e-09,1.0000001959997462,10000,0,"75,8686,9678,5104,725,3257,468,7730,7175,5526",1.0
ignore,1.5695763000112493,60,8.17817635834217e-09,0.6020094737687032,10000,0,"75,8686,9678,5104,725,3257,468,7730,7175,5526",1.0
delete,0.49868659998173825,17,9.858922567218542e-09,1.0000000284744601,8500,1500,"75,8686,7175,9678,8880,6165,5526,3257,468,5104",0.6666666666666666
