run_id,mode,K,dtype,peak_rss_mb,wall_sec,iters,top10_signature
1,csr_block,8,float32,35.91796875,0.42647700000000005,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
2,csr_block,8,float32,35.93359375,0.38733920000000005,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
3,csr_block,8,float32,35.8984375,0.39598429999999996,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
4,csr_block,8,float64,36.078125,0.3632357,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
5,csr_block,8,float64,36.06640625,0.3707596,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
6,csr_block,8,float64,36.66796875,0.3629347,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
