run_id,mode,K,dtype,peak_rss_mb,wall_sec,iters,top10_signature
1,csr,8,float32,33.984375,0.5155856999999999,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
2,csr,8,float32,33.078125,0.46985190000000004,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
3,csr,8,float32,33.18359375,0.4917348,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
4,csr_block,8,float32,35.99609375,0.43010570000000004,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
5,csr_block,8,float32,35.78125,0.4144053,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
6,csr_block,8,float32,35.890625,0.40915100000000004,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
